assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path
GCF_000904535.1	PRJNA485481	na	na	na	na	ICTV species exemplar	889956	2734106	Prochlorococcus phage MED4-213	strain=MED4-213	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195505		GCA_000904535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/535/GCF_000904535.1_ViralProj195505
GCF_000906155.1	PRJNA485481	na	na	na	na	na	929832	929832	Cyanophage P-RSM6	strain=P-RSM6	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195506		GCA_000906155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/155/GCF_000906155.1_ViralProj195506
GCF_000900655.1	PRJNA485481	na	na	na	na	ICTV species exemplar	942016	2844120	Enterobacter phage EcP1	na	na	latest	Complete Genome	Major	Full	2012/11/16	ViralProj181071		GCA_000900655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/900/655/GCF_000900655.1_ViralProj181071
GCF_000892775.1	PRJNA485481	na	na	na	na	na	1026955	1026955	Synechococcus phage S-CRM01	na	na	latest	Complete Genome	Major	Full	2011/05/23	ViralProj67251		GCA_000892775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/892/775/GCF_000892775.1_ViralProj67251
GCF_001505915.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1034128	2006133	Mycobacterium phage Alice	na	na	latest	Complete Genome	Major	Full	2016/01/05	ViralProj307957		GCA_001505915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/505/915/GCF_001505915.1_ViralProj307957
GCF_000901755.1	PRJNA485481	na	na	na	na	na	1042122	1042122	Clostridium phage phiCP13O	na	na	latest	Complete Genome	Major	Full	2012/11/21	ViralProj181210		GCA_000901755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/901/755/GCF_000901755.1_ViralProj181210
GCF_000903275.1	PRJNA485481	na	na	na	na	na	1042123	1042123	Clostridium phage phiCP34O	na	na	latest	Complete Genome	Major	Full	2012/11/21	ViralProj181211		GCA_000903275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/275/GCF_000903275.1_ViralProj181211
GCF_003344325.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1048189	2734148	Cyanophage S-TIM4	na	na	latest	Complete Genome	Major	Full	2020/05/15	Phage S-TIM4		GCA_003344325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/344/325/GCF_003344325.1_Phage_S-TIM4
GCF_000901855.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1051675	2844164	Erwinia phage vB_EamP-S6	na	na	latest	Complete Genome	Major	Full	2012/11/21	ViralProj181230		GCA_000901855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/901/855/GCF_000901855.1_ViralProj181230
GCF_000903375.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1051676	2733974	Erwinia phage vB_EamM-Y2	na	na	latest	Complete Genome	Major	Full	2012/11/21	ViralProj181231		GCA_000903375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/375/GCF_000903375.1_ViralProj181231
GCF_002624925.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1052672	2006139	Mycobacterium phage Sebata	strain=Sebata	na	latest	Complete Genome	Major	Full	2019/05/02	ASM262492v1		GCA_002624925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/624/925/GCF_002624925.1_ASM262492v1
GCF_000892955.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1054968	3060309	Salmonella phage 7-11	na	na	latest	Complete Genome	Major	Full	2011/09/02	ViralProj72387		GCA_000892955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/892/955/GCF_000892955.1_ViralProj72387
GCF_000917595.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1074305	2006135	Mycobacterium phage Dandelion	strain=Dandelion	na	latest	Complete Genome	Major	Full	2014/03/11	ViralProj240728		GCA_000917595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/917/595/GCF_000917595.1_ViralProj240728
GCF_000920095.1	PRJNA485481	na	na	na	na	na	1074307	2006134	Mycobacterium phage LinStu	na	na	latest	Complete Genome	Major	Full	2014/03/11	ViralProj240727		GCA_000920095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/920/095/GCF_000920095.1_ViralProj240727
GCF_000917515.1	PRJNA485481	na	na	na	na	na	1079895	2006134	Mycobacterium phage Pleione	strain=Pleione	na	latest	Complete Genome	Major	Full	2014/03/11	ViralProj240719		GCA_000917515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/917/515/GCF_000917515.1_ViralProj240719
GCF_000901695.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1079999	2955924	Synechococcus phage metaG-MbCM1	na	na	latest	Complete Genome	Major	Full	2012/11/16	ViralProj181073		GCA_000901695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/901/695/GCF_000901695.1_ViralProj181073
GCF_000918815.1	PRJNA485481	na	na	na	na	na	1088865	2006134	Mycobacterium phage MoMoMixon	strain=MoMoMixon	na	latest	Complete Genome	Major	Full	2014/03/11	ViralProj240773		GCA_000918815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/918/815/GCF_000918815.1_ViralProj240773
GCF_000917815.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1088866	2006138	Mycobacterium phage Nappy	strain=Nappy	na	latest	Complete Genome	Major	Full	2014/03/11	ViralProj240775		GCA_000917815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/917/815/GCF_000917815.1_ViralProj240775
GCF_000905095.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1116482	1980961	Pectobacterium phage phiTE	na	na	latest	Complete Genome	Major	Full	2013/02/05	ViralProj188533		GCA_000905095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/095/GCF_000905095.1_ViralProj188533
GCF_000903055.1	PRJNA485481	na	na	na	na	na	1123964	1123964	Sulfolobus virus STSV2	strain=STSV2	na	latest	Complete Genome	Major	Full	2013/02/05	ViralProj185313		GCA_000903055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/055/GCF_000903055.1_ViralProj185313
GCF_000902515.2	PRJNA485481	na	na	na	na	ICTV species exemplar	1137745	2734088	Cyanophage S-TIM5	na	na	latest	Complete Genome	Major	Full	2022/07/22	ViralProj181237		GCA_000902515.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/515/GCF_000902515.2_ViralProj181237
GCF_000908895.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1173761	2170216	Salmonella phage FSL SP-058	na	na	latest	Complete Genome	Major	Full	2013/07/22	ViralProj212712		GCA_000908895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/908/895/GCF_000908895.1_ViralProj212712
GCF_000909555.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1173762	2170217	Salmonella phage FSL SP-076	na	na	latest	Complete Genome	Major	Full	2013/07/22	ViralProj212719		GCA_000909555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/909/555/GCF_000909555.1_ViralProj212719
GCF_002623005.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1175654	1982241	Pseudomonas phage PaMx25	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM262300v1		GCA_002623005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/623/005/GCF_002623005.1_ASM262300v1
GCF_000898435.1	na	na	na	na	na	ICTV species exemplar	1197951	2843926	Celeribacter phage P12053L	na	na	latest	Complete Genome	Major	Full	2012/08/06	ViralProj171980		GCA_000898435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/898/435/GCF_000898435.1_ViralProj171980
GCF_000898755.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1204524	1982895	Streptomyces phage phiHau3	na	na	latest	Complete Genome	Major	Full	2012/10/15	ViralProj177522		GCA_000898755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/898/755/GCF_000898755.1_ViralProj177522
GCF_002601425.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1211278	1982893	Streptomyces phage phiELB20	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM260142v1		GCA_002601425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/601/425/GCF_002601425.1_ASM260142v1
GCF_002602965.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1239386	1982883	Streptomyces phage phiCAM	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM260296v1		GCA_002602965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/602/965/GCF_002602965.1_ASM260296v1
GCF_000905695.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1262527	2956195	Halorubrum sodomense tailed virus 2	na	na	latest	Complete Genome	Major	Full	2013/01/22	ViralProj186951		GCA_000905695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/695/GCF_000905695.1_ViralProj186951
GCF_000905075.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1262528	2956543	Haloarcula vallismortis tailed virus 1	na	na	latest	Complete Genome	Major	Full	2013/01/22	ViralProj186952		GCA_000905075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/075/GCF_000905075.1_ViralProj186952
GCF_000929515.1	PRJNA485481	na	na	na	na	na	1273711	1273711	Synechococcus phage S-CBP1	na	na	latest	Complete Genome	Major	Full	2014/11/10	ViralProj266784		GCA_000929515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/929/515/GCF_000929515.1_ViralProj266784
GCF_000909275.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1273746	2955968	Haloarcula californiae tailed virus 1	na	na	latest	Complete Genome	Major	Full	2013/06/03	ViralProj206499		GCA_000909275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/909/275/GCF_000909275.1_ViralProj206499
GCF_000910135.1	PRJNA485481	na	na	na	na	na	1273748	1273748	Halovirus HCTV-5	na	na	latest	Complete Genome	Major	Full	2013/06/03	ViralProj206497		GCA_000910135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/910/135/GCF_000910135.1_ViralProj206497
GCF_000908655.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1273749	2955971	Halogranum tailed virus 1	na	na	latest	Complete Genome	Major	Full	2013/06/03	ViralProj206496		GCA_000908655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/908/655/GCF_000908655.1_ViralProj206496
GCF_001754165.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1278479	2955536	Cyanophage S-RIM32	na	RW_108_0702	latest	Complete Genome	Major	Full	2016/09/27	ViralProj344584		GCA_001754165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/754/165/GCF_001754165.1_ViralProj344584
GCF_002599225.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1278485	2734152	Cyanophage S-RIM44	na	Np_42_0711	latest	Complete Genome	Major	Full	2020/05/15	ASM259922v1		GCA_002599225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/599/225/GCF_002599225.1_ASM259922v1
GCF_000907735.1	PRJNA485481	na	na	na	na	na	1300004	1300004	Alteromonas phage vB_AmaP_AD45-P1	na	na	latest	Complete Genome	Major	Full	2013/06/20	ViralProj209073		GCA_000907735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/735/GCF_000907735.1_ViralProj209073
GCF_000908495.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1327758	1982890	Streptomyces phage Lika	na	na	latest	Complete Genome	Major	Full	2013/05/31	ViralProj206037		GCA_000908495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/908/495/GCF_000908495.1_ViralProj206037
GCF_000909095.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1327759	1982891	Streptomyces phage Sujidade	na	na	latest	Complete Genome	Major	Full	2013/05/31	ViralProj206036		GCA_000909095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/909/095/GCF_000909095.1_ViralProj206036
GCF_000910055.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1327760	1982892	Streptomyces phage Zemlya	na	na	latest	Complete Genome	Major	Full	2013/06/03	ViralProj206481		GCA_000910055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/910/055/GCF_000910055.1_ViralProj206481
GCF_000908575.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1327762	2955500	Mycobacterium phage Astraea	na	na	latest	Complete Genome	Major	Full	2013/06/03	ViralProj206480		GCA_000908575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/908/575/GCF_000908575.1_ViralProj206480
GCF_000909175.1	PRJNA485481	na	na	na	na	na	1327936	2006134	Mycobacterium phage Gizmo	na	na	latest	Complete Genome	Major	Full	2013/06/03	ViralProj206479		GCA_000909175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/909/175/GCF_000909175.1_ViralProj206479
GCF_000907555.1	PRJNA485481	na	na	na	na	na	1327938	2006134	Mycobacterium phage ArcherS7	na	na	latest	Complete Genome	Major	Full	2013/06/03	ViralProj206478		GCA_000907555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/555/GCF_000907555.1_ViralProj206478
GCF_003369305.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1332145	2733920	Synechococcus T7-like phage S-TIP37	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM336930v1		GCA_003369305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/369/305/GCF_003369305.1_ASM336930v1
GCF_001516995.1	PRJNA485481	na	na	na	na	na	1340712	2006134	Mycobacterium phage Breeniome	na	na	latest	Complete Genome	Major	Full	2016/01/14	ViralProj308758		GCA_001516995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/995/GCF_001516995.1_ViralProj308758
GCF_000918375.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1340810	2956426	Synechococcus phage ACG-2014h	na	na	latest	Complete Genome	Major	Full	2014/03/04	ViralProj240047		GCA_000918375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/918/375/GCF_000918375.1_ViralProj240047
GCF_000917315.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1340812	2734078	Synechococcus phage S-MbCM100	na	na	latest	Complete Genome	Major	Full	2014/03/04	ViralProj240044		GCA_000917315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/917/315/GCF_000917315.1_ViralProj240044
GCF_000920475.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1399915	2733976	Pectobacterium phage PM1	na	na	latest	Complete Genome	Major	Full	2014/04/01	ViralProj243247		GCA_000920475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/920/475/GCF_000920475.1_ViralProj243247
GCF_000917255.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1436889	3052361	Escherichia phage KBNP1711	na	na	latest	Complete Genome	Major	Full	2014/03/04	ViralProj240032		GCA_000917255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/917/255/GCF_000917255.1_ViralProj240032
GCF_000916835.1	PRJNA485481	na	na	na	na	na	1450746	1450746	Pithovirus sibericum	na	P1084-T	latest	Complete Genome	Major	Full	2014/02/15	ViralProj237323		GCA_000916835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/916/835/GCF_000916835.1_ViralProj237323
GCF_001019915.1	PRJNA485481	na	na	na	na	na	1493508	2734124	Synechococcus phage ACG-2014b	na	Syn7803C100	latest	Complete Genome	Major	Full	2015/06/02	ViralProj284772		GCA_001019915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/019/915/GCF_001019915.1_ViralProj284772
GCF_002596865.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1493508	2734124	Synechococcus phage ACG-2014b	na	Syn7803C61	latest	Complete Genome	Major	Full	2020/05/15	ASM259686v1		GCA_002596865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/596/865/GCF_002596865.1_ASM259686v1
GCF_002597145.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1493508	2734124	Synechococcus phage ACG-2014b	na	Syn9311C4	latest	Complete Genome	Major	Full	2020/05/15	ASM259714v1		GCA_002597145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/597/145/GCF_002597145.1_ASM259714v1
GCF_000982365.1	PRJNA485481	na	na	na	na	na	1493509	2956131	Synechococcus phage ACG-2014d	na	Syn7803C102	latest	Complete Genome	Major	Full	2015/04/28	ViralProj282475		GCA_000982365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/365/GCF_000982365.1_ViralProj282475
GCF_002534655.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1493509	2956131	Synechococcus phage ACG-2014d	na	Syn7803C45	latest	Complete Genome	Major	Full	2022/04/27	ASM253465v1		GCA_002534655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/534/655/GCF_002534655.1_ASM253465v1
GCF_000982325.1	PRJNA485481	na	na	na	na	na	1493510	2955602	Synechococcus phage ACG-2014e	na	Syn7803C2	latest	Complete Genome	Major	Full	2015/04/28	ViralProj282474		GCA_000982325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/325/GCF_000982325.1_ViralProj282474
GCF_002921755.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1493510	2955602	Synechococcus phage ACG-2014e	na	Syn7803C85	latest	Complete Genome	Major	Full	2022/04/27	ASM292175v1		GCA_002921755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/921/755/GCF_002921755.1_ASM292175v1
GCF_000982385.1	PRJNA485481	na	na	na	na	na	1493511	2734085	Synechococcus phage ACG-2014f	na	Syn7803C90	latest	Complete Genome	Major	Full	2015/04/28	ViralProj282479		GCA_000982385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/385/GCF_000982385.1_ViralProj282479
GCF_000982345.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1493512	2956144	Synechococcus phage ACG-2014g	na	Syn7803US105	latest	Complete Genome	Major	Full	2015/04/28	ViralProj282478		GCA_000982345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/345/GCF_000982345.1_ViralProj282478
GCF_001019995.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1493513	2955603	Synechococcus phage ACG-2014i	na	Syn7803US120	latest	Complete Genome	Major	Full	2015/06/02	ViralProj285603		GCA_001019995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/019/995/GCF_001019995.1_ViralProj285603
GCF_000982305.1	PRJNA485481	na	na	na	na	na	1493514	2956330	Synechococcus phage ACG-2014j	na	Syn7803US103	latest	Complete Genome	Major	Full	2015/04/28	ViralProj282477		GCA_000982305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/305/GCF_000982305.1_ViralProj282477
GCF_002604645.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1493514	2956330	Synechococcus phage ACG-2014j	na	Syn7803US23	latest	Complete Genome	Major	Full	2022/04/27	ASM260464v1		GCA_002604645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/604/645/GCF_002604645.1_ASM260464v1
GCF_001042235.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1519788	1987942	Escherichia phage vB_EcoP_SU10	na	na	latest	Complete Genome	Major	Full	2015/06/24	ViralProj287992		GCA_001042235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/235/GCF_001042235.1_ViralProj287992
GCF_001042195.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1540097	2170215	Escherichia phage Pollock	na	na	latest	Complete Genome	Major	Full	2015/06/24	ViralProj287984		GCA_001042195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/195/GCF_001042195.1_ViralProj287984
GCF_001503075.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1542477	2955972	Prochlorococcus phage P-TIM68	na	na	latest	Complete Genome	Major	Full	2016/01/05	ViralProj307841		GCA_001503075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/503/075/GCF_001503075.1_ViralProj307841
GCF_001550725.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1556290	2560786	Streptomyces phage Jay2Jay	na	na	latest	Complete Genome	Major	Full	2016/02/05	ViralProj310942		GCA_001550725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/550/725/GCF_001550725.1_ViralProj310942
GCF_001430655.1	PRJNA485481	na	na	na	na	na	1586713	1586713	Yellowstone lake phycodnavirus 1	na	1	latest	Complete Genome	Major	Full	2015/10/30	ViralProj300258		GCA_001430655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/430/655/GCF_001430655.1_ViralProj300258
GCF_001430035.1	PRJNA485481	na	na	na	na	na	1586715	1586715	Yellowstone lake phycodnavirus 3	na	3	latest	Complete Genome	Major	Full	2015/10/30	ViralProj300256		GCA_001430035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/430/035/GCF_001430035.1_ViralProj300256
GCF_001470935.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1589733	2734115	Cyanophage P-TIM40	na	na	latest	Complete Genome	Major	Full	2015/12/17	ViralProj306299		GCA_001470935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/470/935/GCF_001470935.1_ViralProj306299
GCF_001505715.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1598146	1987938	Escherichia phage 172-1	na	na	latest	Complete Genome	Major	Full	2016/01/05	ViralProj307917		GCA_001505715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/505/715/GCF_001505715.1_ViralProj307917
GCF_000897795.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1604355	3052757	Escherichia phage ECBP2	na	na	latest	Complete Genome	Major	Full	2012/10/15	ViralProj177528		GCA_000897795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/897/795/GCF_000897795.1_ViralProj177528
GCF_001399285.1	PRJNA485481	na	na	na	na	na	1663208	1663208	Ostreococcus lucimarinus virus 2	na	Olv2	latest	Complete Genome	Major	Full	2015/10/16	ViralProj298920		GCA_001399285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/285/GCF_001399285.1_ViralProj298920
GCF_001399225.1	PRJNA485481	na	na	na	na	na	1663209	1663209	Ostreococcus lucimarinus virus 7	na	OlV7	latest	Complete Genome	Major	Full	2015/10/16	ViralProj298991		GCA_001399225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/225/GCF_001399225.1_ViralProj298991
GCF_001399265.1	PRJNA485481	na	na	na	na	na	1663210	1663210	Ostreococcus mediterraneus virus 1	na	OmV1	latest	Complete Genome	Major	Full	2015/10/16	ViralProj298990		GCA_001399265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/265/GCF_001399265.1_ViralProj298990
GCF_001500455.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1674926	1982888	Streptomyces phage Izzy	na	na	latest	Complete Genome	Major	Full	2016/01/05	ViralProj307722		GCA_001500455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/500/455/GCF_001500455.1_ViralProj307722
GCF_001502495.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1674927	1982889	Streptomyces phage Lannister	na	na	latest	Complete Genome	Major	Full	2016/01/05	ViralProj307721		GCA_001502495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/502/495/GCF_001502495.1_ViralProj307721
GCF_001502475.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1690425	1982885	Streptomyces phage Caliburn	na	na	latest	Complete Genome	Major	Full	2016/01/05	ViralProj307717		GCA_001502475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/502/475/GCF_001502475.1_ViralProj307717
GCF_002756735.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1690426	1982884	Streptomyces phage Aaronocolus	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM275673v1		GCA_002756735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/756/735/GCF_002756735.1_ASM275673v1
GCF_002603425.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1690427	1982886	Streptomyces phage Danzina	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM260342v1		GCA_002603425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/603/425/GCF_002603425.1_ASM260342v1
GCF_002756755.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1690428	1982887	Streptomyces phage Hydra	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM275675v1		GCA_002756755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/756/755/GCF_002756755.1_ASM275675v1
GCF_001503355.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1698710	2006136	Mycobacterium phage HyRo	na	na	latest	Complete Genome	Major	Full	2016/01/05	ViralProj307899		GCA_001503355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/503/355/GCF_001503355.1_ViralProj307899
GCF_001551185.1	PRJNA485481	na	na	na	na	na	1732177	1732177	Sulfolobus monocaudavirus SMV3	strain=SMV3	na	latest	Complete Genome	Major	Full	2016/02/05	ViralProj310893		GCA_001551185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/551/185/GCF_001551185.1_ViralProj310893
GCF_001755545.1	PRJNA485481	na	na	na	na	na	1784982	1784982	Pseudomonas phage O4	na	na	latest	Complete Genome	Major	Full	2016/09/27	ViralProj344603		GCA_001755545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/755/545/GCF_001755545.1_ViralProj344603
GCF_000872425.2	PRJNA485481	na	na	na	na	ICTV species exemplar	1785753	1785753	Ostreococcus tauri virus OtV5	strain=OtV5	na	latest	Complete Genome	Major	Full	2016/02/05	ViralProj28159		GCA_000872425.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/872/425/GCF_000872425.2_ViralProj28159
GCF_001754685.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1792032	2560336	Bacillus phage SP-15	na	na	latest	Complete Genome	Major	Full	2016/09/27	ViralProj344602		GCA_001754685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/754/685/GCF_001754685.1_ViralProj344602
